metric_model,max_seq_len,mean_score_ls,std_score_ls,mean_score_as,std_score_as,separation_margin,accuracy_ls_gt_as,margin_short,margin_med,margin_long,acc_short,acc_med,acc_long,length_corr_ls,length_corr_as
metric_mixup_256,256,0.7744084532196457,0.10428290930309414,0.11361793317907565,0.07273251553396569,0.66079052004057,0.972972972972973,0.5884563773870468,0.6954027941593757,0.6496973231080032,1.0,1.0,0.9523809523809523,0.10621147463252724,-0.007231772427821754
metric_mixup_500,500,0.7556727303040994,0.127546996561335,0.1362938703717412,0.08750252696757492,0.6193788599323582,0.972972972972973,0.4792051961024602,0.6071844163995522,0.6469526102855092,1.0,1.0,0.9523809523809523,0.2024656235182551,-0.4211025518626699
metric_mixup_1000,1000,0.7788061717072049,0.1282280049162211,0.11603923947424502,0.09957883189081054,0.6627669322329599,1.0,0.4795426627000173,0.6615701441008311,0.6896826967242218,1.0,1.0,1.0,0.29468942626837363,-0.5323058721462242
metric_mixup_master,256,0.7744084532196457,0.10428290930309414,0.11361793317907565,0.07273251553396569,0.66079052004057,0.972972972972973,0.5884563773870468,0.6954027941593757,0.6496973231080032,1.0,1.0,0.9523809523809523,0.10621147463252724,-0.007231772427821754
