metric_model,max_seq_len,mean_score_ls,std_score_ls,mean_score_as,std_score_as,separation_margin,accuracy_ls_gt_as,margin_short,margin_med,margin_long,acc_short,acc_med,acc_long,length_corr_ls,length_corr_as
metric_mixup_256,256,0.7744084467759004,0.10428290496830629,0.1136179361995813,0.07273251456736951,0.6607905105763191,0.972972972972973,0.5884563823541006,0.6954027907206461,0.6496973078520525,1.0,1.0,0.9523809523809523,0.10621147463252724,-0.007231772427821754
metric_mixup_500,500,0.755672728693163,0.12754699416864967,0.1362938707744753,0.08750252665251969,0.6193788579186877,0.972972972972973,0.4792051961024602,0.6071844066564853,0.646952612769036,1.0,1.0,0.9523809523809523,0.2024656235182551,-0.4211025518626699
metric_mixup_1000,1000,0.7788061700962685,0.12822800429463863,0.11603924017902967,0.0995788307340315,0.6627669299172388,1.0,0.47954262296358746,0.6615701406621016,0.6896827004495121,1.0,1.0,1.0,0.29468942626837363,-0.5323058721462242
metric_mixup_master,256,0.7744084467759004,0.10428290496830629,0.1136179361995813,0.07273251456736951,0.6607905105763191,0.972972972972973,0.5884563823541006,0.6954027907206461,0.6496973078520525,1.0,1.0,0.9523809523809523,0.10621147463252724,-0.007231772427821754
