model,max_len,r_style_mean,r_sem_as_mean,sim_ref_mean,composite_reward_mean,bleu_mean,rouge1_f1_mean,rouge2_f1_mean,rougeL_f1_mean,avg_gen_tokens,compression_ratio_mean,truncation_rate
sft_len256,256,0.6085552814844493,0.8908070921897888,0.8772218227386475,0.7496812061683552,0.008910046764334802,0.23040808945881686,0.07659937594776563,0.1292375939445725,154.64864864864865,0.3588767499347377,0.43243243243243246
sft_len500,500,0.6583425924181938,0.9011018872261047,0.8943215608596802,0.779722247876831,0.019826928049269263,0.28702211889106616,0.10073646746858983,0.1492557734507984,237.59459459459458,0.49839589099017195,0.43243243243243246
sft_len1000,1000,0.5795188868367994,0.917944610118866,0.8965116143226624,0.748731768614537,0.025891191850122196,0.3021811225602704,0.10911454193237219,0.1614814292255909,289.0810810810811,0.5787261487460426,0.1891891891891892
dpo_len256,256,0.4391022656817694,0.8662028908729553,0.8328813314437866,0.652652608885153,1.5869365309054786e-06,0.055211822149901904,0.020447015020275957,0.04111164360155116,37.78378378378378,0.0740617500694093,0.40540540540540543
dpo_len500,500,0.41747549981684295,0.8757814168930054,0.8421232104301453,0.646628467215074,0.0009264614845281063,0.059979135955573804,0.020782909695521667,0.0421621776569244,43.21621621621622,0.08669432910076355,0.2972972972972973
dpo_len1000,1000,0.3376391141398533,0.8959963917732239,0.8518642783164978,0.6168177634276248,0.002409455201070003,0.09939019378318047,0.031206970293614862,0.06514366699552603,114.08108108108108,0.15603354577493833,0.10810810810810811
dpo_len256_jina,256,0.446744115570107,0.8664823174476624,0.8339044451713562,0.6566132052323302,1.5988596359420474e-06,0.053326079776890876,0.02032003052175018,0.03996438462545433,35.78378378378378,0.0702491342721802,0.43243243243243246
dpo_len500_jina,500,0.4328318943043013,0.8752845525741577,0.8414106965065002,0.6540582741837244,0.0009264614845281063,0.06008789058919434,0.020903485265265986,0.04240364584670499,43.67567567567568,0.08653979344417116,0.2702702702702703
dpo_len1000_jina,1000,0.32965879847069046,0.9000040888786316,0.8572233319282532,0.6148314517293427,0.0033566290988052325,0.11056710282543969,0.03508624019298711,0.0682018241468403,125.62162162162163,0.14853811189010022,0.05405405405405406
