Modell,model_key,beta,model_path,r_style_mean,r_style_std,r_sem_as_mean,r_sem_as_std,sim_ref_mean,composite_reward_mean,composite_reward_std,bleu_mean,rouge_l_mean,avg_gen_tokens,avg_src_tokens,compression_ratio_mean,truncation_rate_pct,flesch_de_mean,lix_mean,passive_ratio_mean,genitive_ratio_mean,nominal_ratio_mean
SFT Baseline,SFT Baseline,0.0,results/models/sft,0.7652574777603149,0.24405121803283691,0.8592957258224487,0.060549914836883545,0.847172200679779,0.8122766613960266,0.1263708472251892,0.008160135617703571,0.12396395136560551,139.78378378378378,916.4594594594595,0.3330860902046948,45.94594594594595,40.72932682063683,40.79412393980776,0.0,0.011114814825962233,0.034600814724854795
DPO (Beta = 0.01),DPO (Beta = 0.01),0.01,results/models/dpo_beta_sweep/dpo_beta_001,0.9862481355667114,0.05950726941227913,0.8043039441108704,0.07360435277223587,0.8172351121902466,0.8952760696411133,0.04304253309965134,0.008350929391567943,0.14547760711746618,208.6216216216216,916.4594594594595,0.4893587891699977,83.78378378378379,54.7737014838841,34.39929669725396,0.0,0.0005363252750012332,0.014684420541369252
DPO (Beta = 0.05),DPO (Beta = 0.05),0.05,results/models/dpo_beta_sweep/dpo_beta_005,0.9638280272483826,0.13397470116615295,0.8343496322631836,0.07334209233522415,0.8345019221305847,0.8990886807441711,0.08106126636266708,0.007652931272171671,0.1342347521946359,163.0810810810811,916.4594594594595,0.3887770472275319,56.75675675675676,44.166536265616344,41.96277220331709,0.0,0.0007879709594824303,0.022646926958080137
DPO (Beta = 0.10),DPO (Beta = 0.10),0.1,results/models/dpo_beta_sweep/dpo_beta_010,0.9498604536056519,0.11368564516305923,0.8410060405731201,0.08070263266563416,0.8421306610107422,0.8954331874847412,0.0721164420247078,0.011392109309608555,0.13446615178356894,155.0810810810811,916.4594594594595,0.3698009759593061,37.83783783783784,43.08307360373937,42.07945791035314,0.0,0.0026941350189118303,0.02584998820045253
DPO (Beta = 0.20),DPO (Beta = 0.20),0.2,results/models/dpo_beta_sweep/dpo_beta_020,0.9581461548805237,0.08484043180942535,0.8479438424110413,0.07292916625738144,0.8387683033943176,0.9030449390411377,0.06914599239826202,0.008290035821628254,0.12784439146590454,138.2972972972973,916.4594594594595,0.3300054364358734,27.027027027027028,45.30935152841677,38.71357101919905,0.0,0.002399474267074679,0.03228183458527258
DPO (Beta = 0.50),DPO (Beta = 0.50),0.5,results/models/dpo_beta_sweep/dpo_beta_050,0.8952047824859619,0.17782308161258698,0.8476240634918213,0.07970360666513443,0.8411183953285217,0.8714143633842468,0.09619279205799103,0.011081134537047416,0.1367053650363161,152.56756756756758,916.4594594594595,0.3533597013476433,40.54054054054054,41.37226961428436,39.55687530898116,0.0,0.004479136607622147,0.03184776053784298
