model_name,model_path,r_style_mean,r_sem_as_mean,sim_ref_mean,reward_05_05_mean,reward_07_03_mean,reward_10_00_mean,bleu_mean,rouge1_f1_mean,rouge2_f1_mean,rougeL_f1_mean,avg_src_tokens,avg_gen_tokens,avg_ref_tokens,compression_ratio_mean,truncation_rate
SFT Baseline,results/models/sft,0.7293702763178058,0.8544467550677222,0.8391010908258928,0.791908515692764,0.7668932199427806,0.7293702763178058,0.00675291593570537,0.21466246452369467,0.07446701872421764,0.12411429165098337,916.4594594594595,136.67567567567568,1107.3243243243244,0.33787641475842295,0.4594594594594595
DPO (0.5 Style / 0.5 Sem),results/models/metric_weights_exp/dpo_w05_w05,0.9505174393589432,0.8425256138717806,0.8407905186350281,0.8965215266153619,0.9181198917127946,0.9505174393589432,0.009405151247092423,0.24463625537405945,0.08455081249459065,0.13778887404292894,916.4594594594595,159.7027027027027,1107.3243243243244,0.38044704257255557,0.43243243243243246
DPO (0.7 Style / 0.3 Sem),results/models/metric_weights_exp/dpo_w07_w03,0.9508717366167017,0.8295329948132103,0.8283030159167342,0.8902023657149559,0.9144701140756542,0.9508717366167017,0.007311442965805587,0.22919014069228183,0.07710092863607386,0.12859973063798824,916.4594594594595,139.13513513513513,1107.3243243243244,0.3466087754248024,0.40540540540540543
DPO (1.0 Style / 0.0 Sem),results/models/metric_weights_exp/dpo_w10_w00,0.9629023908763319,0.8265641891473049,0.8300149986470068,0.8947332900118183,0.9220009303576239,0.9629023908763319,0.006627490406606576,0.23592321831868196,0.07767900137918297,0.13143975805616312,916.4594594594595,154.45945945945945,1107.3243243243244,0.3428365276712631,0.40540540540540543
