min_sim,max_sim,num_samples,balanced_accuracy
0.8,0.98,1266,0.9579
0.8,0.98,1266,0.9474
0.8,0.98,1266,0.9316
0.8,0.98,1266,0.9632
0.8,0.98,1266,0.9474
0.8,0.98,1266,0.9316
0.8,0.98,1266,0.9632
