model,max_len,r_style_mean,r_sem_as_mean,sim_ref_mean,composite_reward_mean,bleu_mean,rouge1_f1_mean,rouge2_f1_mean,rougeL_f1_mean,avg_gen_tokens,compression_ratio_mean,truncation_rate
sft_len256,256,0.32057385418463397,0.9091165065765381,0.8826735019683838,0.6148451634657544,0.008459479818449944,0.21207573585464107,0.07127832166298184,0.1264432979207468,142.97297297297297,0.32639458762369655,0.7297297297297297
sft_len512,512,0.3896203792679149,0.923454999923706,0.9009087085723877,0.6565376936231513,0.02006295014858125,0.26732152847204554,0.09609123534626005,0.15310083136330913,207.43243243243242,0.46670315886827857,0.24324324324324326
sft_len1024,1024,0.7003917089990668,0.9053056836128235,0.8910833597183228,0.8028486946950087,0.029088601249619962,0.3447629461465795,0.1204875267921878,0.1704396390580199,353.4864864864865,0.6747076380756175,0.2702702702702703
dpo_len256,256,0.5436693655729696,0.9109097123146057,0.8902303576469421,0.727289517196147,0.014517358940056853,0.25137024353525617,0.08856765455476827,0.14287989885175192,169.32432432432432,0.39052082230238333,0.4864864864864865
dpo_len512,512,0.5416202375010865,0.916845977306366,0.8989335298538208,0.7292331235130897,0.019973266934480483,0.2796387289534531,0.09880461976430786,0.15160864195963628,216.9189189189189,0.4790969343761773,0.1891891891891892
dpo_len1024,1024,0.9022950900567545,0.8973429799079895,0.8960466384887695,0.8998190349823719,0.047196751371515695,0.40160055957806573,0.13899267915841093,0.18507254927498124,522.4324324324324,0.9989624190540444,0.32432432432432434
