Modell,model_key,model_path,r_style_mean,r_sem_as_mean,sim_ref_mean,composite_reward_mean,bleu_mean,rouge_l_mean,avg_gen_tokens,compression_ratio_mean,truncation_rate_pct
SFT Baseline,SFT Baseline,results/models/sft,0.7293702763178058,0.8544467550677222,0.8391010908258928,0.791908515692764,0.00675291593570537,0.12411429165098337,136.67567567567568,0.33787641475842295,45.94594594594595
DPO Sum (Classic),DPO Sum (Classic),results/models/loss_aggregation_exp/dpo_sum,0.9761086347940806,0.846779078245163,0.8465776246141743,0.9114438565196218,0.008693344184620169,0.14233328914852,176.16216216216216,0.4070076967649381,75.67567567567568
DPO Mean (Length-Normalized),DPO Mean (Length-Normalized),results/models/loss_aggregation_exp/dpo_mean,0.9710692296157012,0.6428101619051115,0.6691596873003889,0.8069396957604064,0.0006393982921618098,0.12378437679020184,174.3783783783784,0.4079103856732455,59.45945945945946
