source,as_url,token_ratio,as_tokens,ls_tokens,as_avg_sent_len,ls_avg_sent_len,ner_recall,as_ent_count,ls_ent_count,semantic_similarity,as_lexical_density,ls_lexical_density,as_adj_ratio,ls_adj_ratio,as_noun_ratio,ls_noun_ratio,as_verb_ratio,ls_verb_ratio,as_conj_ratio,ls_conj_ratio
mdr,https://www.mdr.de/nachrichten/sachsen-anhalt/landespolitik/software-debakel-landtag-ohne-einblick-in-landesfinanzen-102.html,0.5620328849028401,669,376,15.55813953488372,9.170731707317072,0.22727272727272727,22,14,0.9292338490486145,0.49327354260089684,0.4574468085106383,0.04932735426008968,0.0425531914893617,0.24962630792227203,0.22872340425531915,0.09267563527653214,0.10638297872340426,0.03587443946188341,0.05319148936170213
mdr,https://www.mdr.de/nachrichten/thueringen/sued-thueringen/schmalkalden-meiningen/osterspaziergang-wandern-ostersonntag-vorbei-100.html,1.3533834586466165,399,540,14.25,8.4375,0.08695652173913043,23,27,0.943271279335022,0.47117794486215536,0.4537037037037037,0.06766917293233082,0.05185185185185185,0.3132832080200501,0.3037037037037037,0.040100250626566414,0.05555555555555555,0.045112781954887216,0.03333333333333333
mdr,https://www.mdr.de/nachrichten/sachsen-anhalt/magdeburg/magdeburg/brand-sternstrasse-hasselbachplatz-feuerwehr-106.html,2.297752808988764,178,409,11.866666666666667,8.346938775510203,0.13333333333333333,15,30,0.6199086904525757,0.5056179775280899,0.4889975550122249,0.028089887640449437,0.0488997555012225,0.28651685393258425,0.29095354523227385,0.09550561797752809,0.09290953545232274,0.033707865168539325,0.02444987775061125
mdr,https://www.mdr.de/nachrichten/thueringen/mitte-thueringen/soemmerda/runneburg-weissensee-brand-feuer-100.html,0.7383966244725738,237,175,11.85,8.333333333333334,0.1875,16,8,0.6908348798751831,0.4641350210970464,0.44,0.029535864978902954,0.045714285714285714,0.32489451476793246,0.24571428571428572,0.08016877637130802,0.09142857142857143,0.02109704641350211,0.03428571428571429
mdr,https://www.mdr.de/nachrichten/thueringen/mitte-thueringen/erfurt/domplatz-brand-haus-abgerissen-102.html,0.6578073089700996,301,198,13.681818181818182,7.615384615384615,0.125,16,13,0.6640551090240479,0.47840531561461797,0.4696969696969697,0.059800664451827246,0.03535353535353535,0.25249169435215946,0.24242424242424243,0.10299003322259136,0.1111111111111111,0.03322259136212624,0.020202020202020204
mdr,https://www.mdr.de/nachrichten/sachsen-anhalt/halle/burgenland/weissenfels-ausgrabungen-neubau-promenade-100.html,1.4466019417475728,103,149,12.875,9.3125,0.2222222222222222,9,8,0.7119218111038208,0.5048543689320388,0.5100671140939598,0.06796116504854369,0.0738255033557047,0.32038834951456313,0.2751677852348993,0.07766990291262135,0.10067114093959731,0.04854368932038835,0.040268456375838924
mdr,https://www.mdr.de/nachrichten/sachsen-anhalt/elektronische-akte-justiz-einfuehrung-verschoben-100.html,0.49224806201550386,516,254,17.2,8.758620689655173,0.1,20,9,0.8915408849716187,0.48255813953488375,0.4645669291338583,0.05232558139534884,0.047244094488188976,0.2751937984496124,0.2322834645669291,0.08333333333333333,0.08661417322834646,0.036821705426356585,0.03937007874015748
mdr,https://www.mdr.de/nachrichten/sachsen/sextortion-erpressung-nacktbilder-bilianz-lovescamming-100.html,0.8198970840480274,583,478,15.756756756756756,8.690909090909091,0.25,16,19,0.8378595113754272,0.4751286449399657,0.4121338912133891,0.04631217838765009,0.01882845188284519,0.2607204116638079,0.2301255230125523,0.09433962264150944,0.09414225941422594,0.0411663807890223,0.04393305439330544
mdr,https://www.mdr.de/nachrichten/sachsen/politik/bildungsurlaub-anspruch-abstimmung-beschluss-landtag-100.html,0.7660550458715596,654,501,12.823529411764707,9.452830188679245,0.1875,32,20,0.9200116991996765,0.4969418960244648,0.4411177644710579,0.053516819571865444,0.04790419161676647,0.2691131498470948,0.249500998003992,0.09938837920489296,0.10179640718562874,0.039755351681957186,0.023952095808383235
mdr,https://www.mdr.de/nachrichten/sachsen-anhalt/halle/burgenland/bus-streik-burgenlandkreis-104.html,0.6819571865443425,327,223,17.210526315789473,8.92,0.21739130434782608,23,17,0.8117885589599609,0.4801223241590214,0.47085201793721976,0.045871559633027525,0.026905829596412557,0.2874617737003058,0.2600896860986547,0.0764525993883792,0.08520179372197309,0.04281345565749235,0.05829596412556054
