source,url,as_tokens,as_ttr,as_mattr,ls_tokens,ls_ttr,ls_mattr
behindertenbeauftragter,https://www.behindertenbeauftragter.de/DE/LS/presse-und-aktuelles/kontakt-und-medienbereich/kontakt-und-medienbereich.html,112,0.7142857142857143,0.8171428571428571,82,0.4146341463414634,0.68
behindertenbeauftragter,https://www.behindertenbeauftragter.de/DE/LS/der-beauftragte/behindertenbeauftragte-in-bundeslaendern/behindertenbeauftragte-in-bundeslaendern.html,155,0.3935483870967742,0.6362264150943396,160,0.33125,0.4758558558558559
behindertenbeauftragter,https://www.behindertenbeauftragter.de/DE/LS/kultur-im-kleisthaus/salon-im-kleisthaus/gaeste/_documents/Johann-Koenig_inhalt.html,85,0.7176470588235294,0.8383333333333334,157,0.47770700636942676,0.6994444444444445
behindertenbeauftragter,https://www.behindertenbeauftragter.de/DE/LS/schwerpunkte/gesundheit/gesundheit.html,877,0.467502850627138,0.7916425120772947,554,0.4007220216606498,0.741980198019802
behindertenbeauftragter,https://www.behindertenbeauftragter.de/DE/LS/der-beauftragte/lebenslauf/lebenslauf.html,215,0.4558139534883721,0.6589156626506024,333,0.40540540540540543,0.6471830985915493
behindertenbeauftragter,https://www.behindertenbeauftragter.de/DE/LS/kultur-im-kleisthaus/teilhabe-an-kunst-und-kultur/teilhabe-an-kunst-und-kultur.html,335,0.47761194029850745,0.7355244755244755,192,0.5104166666666666,0.7051748251748252
behindertenbeauftragter,https://www.behindertenbeauftragter.de/DE/LS/presse-und-aktuelles/veranstaltungen/sonderseiten/bildung/ankuendigung.html,366,0.39617486338797814,0.7008201892744479,457,0.3522975929978118,0.7174509803921569
behindertenbeauftragter,https://www.behindertenbeauftragter.de/DE/LS/kultur-im-kleisthaus/salon-im-kleisthaus/salon-im-kleisthaus.html,184,0.483695652173913,0.7213333333333333,108,0.5555555555555556,0.7223728813559321
behindertenbeauftragter,https://www.behindertenbeauftragter.de/DE/LS/presse-und-aktuelles/veranstaltungen/sonderseiten/T4/ankuendigung-ls.html,611,0.4369885433715221,0.7741637010676157,929,0.2874058127018299,0.7233863636363637
behindertenbeauftragter,https://www.behindertenbeauftragter.de/SharedDocs/Pressemitteilungen/DE/LS/LS_2021/PM21_Geburtstag-Schlichtungsstelle.html,527,0.44212523719165087,0.7665690376569038,744,0.3064516129032258,0.7147338129496403
behindertenbeauftragter,https://www.behindertenbeauftragter.de/DE/LS/rechtliches/sozialgesetzbuch-und-bundesteilhabegesetz/sozialgesetzbuch-und-bundesteilhabegesetz.html,440,0.3886363636363636,0.711918158567775,321,0.42679127725856697,0.6724264705882353
