source,as_url,ls_url,as_word_count,ls_word_count,sim_128,sim_256,sim_512,sim_1024,sim_8192
apotheken,https://www.apotheken-umschau.de/krankheiten-symptome/geschlechtskrankheiten/syphilis-lues-733965.html,https://www.apotheken-umschau.de/einfache-sprache/krankheiten/syphilis-769763.html,1255,1025,0.8104870915412903,0.7799872159957886,0.8681097030639648,0.8512227535247803,0.8601273894309998
apotheken,https://www.apotheken-umschau.de/krankheiten-symptome/magen-und-darmerkrankungen/magen-zwoelffingerdarmgeschwuer-734637.html,https://www.apotheken-umschau.de/einfache-sprache/krankheiten/geschwuere-im-magen-und-zwoelffingerdarm-786353.html,2907,901,0.7757776379585266,0.746857762336731,0.8109205961227417,0.8358504176139832,0.7848952412605286
apotheken,https://www.apotheken-umschau.de/medikamente/wirkstoffe/l-thyroxin-wirkung-nebenwirkungen-anwendungstipps-719751.html,https://www.apotheken-umschau.de/einfache-sprache/medikamente-heilpflanzen/l-thyroxin-722969.html,904,742,0.753675103187561,0.7831171154975891,0.849090039730072,0.9261898398399353,0.9354422688484192
apotheken,https://www.apotheken-umschau.de/medikamente/heilpflanzen/traubensilberkerze-pflanzliche-hilfe-in-den-wechseljahren-736517.html,https://www.apotheken-umschau.de/einfache-sprache/medikamente-heilpflanzen/traubensilberkerze-769869.html,399,433,0.7525315284729004,0.8648668527603149,0.9109368324279785,0.8779851198196411,0.8779851198196411
apotheken,https://www.apotheken-umschau.de/krankheiten-symptome/herz-kreislauf-erkrankungen/thrombose-ursachen-therapien-und-vorbeugung-740009.html,https://www.apotheken-umschau.de/einfache-sprache/krankheiten/thrombose-749541.html,1200,712,0.8088709115982056,0.8118699193000793,0.840253472328186,0.8593804240226746,0.84591144323349
apotheken,https://www.apotheken-umschau.de/therapie/therapiearten/defibrillator-neustart-fuer-das-herz-745527.html,https://www.apotheken-umschau.de/einfache-sprache/erste-hilfe/defibrillator-896773.html,696,461,0.5024040937423706,0.5966235399246216,0.7397944331169128,0.8310596942901611,0.8310596942901611
apotheken,https://www.apotheken-umschau.de/krankheiten-symptome/gelenks-und-knochenerkrankungen/rueckenschmerzen-was-hilft-734999.html,https://www.apotheken-umschau.de/einfache-sprache/krankheiten/rueckenschmerzen-906277.html,2002,620,0.6094198226928711,0.7615606784820557,0.8245970606803894,0.8227932453155518,0.8121374249458313
apotheken,https://www.apotheken-umschau.de/krankheiten-symptome/magen-und-darmerkrankungen/haemorrhoiden-ratgeber-739383.html,https://www.apotheken-umschau.de/einfache-sprache/krankheiten/haemorriden-723237.html,1429,779,0.5992560386657715,0.7558121681213379,0.7866948843002319,0.871324896812439,0.8249016404151917
apotheken,https://www.apotheken-umschau.de/krankheiten-symptome/infektionskrankheiten/richtig-inhalieren-so-geht-s-708809.html,https://www.apotheken-umschau.de/einfache-sprache/untersuchungen-therapien/richtig-inhalieren-942573.html,772,470,0.712348222732544,0.7566031217575073,0.7715863585472107,0.8368723392486572,0.8505778312683105
apotheken,https://www.apotheken-umschau.de/krankheiten-symptome/augenkrankheiten/kurzsichtigkeit-ursachen-und-therapie-733871.html,https://www.apotheken-umschau.de/einfache-sprache/krankheiten/kurzsichtigkeit-723523.html,776,550,0.8471463322639465,0.8806846141815186,0.8609256148338318,0.8504402041435242,0.8652681112289429
apotheken,https://www.apotheken-umschau.de/krankheiten-symptome/psychische-krankheiten/woran-man-eine-bipolare-stoerung-erkennt-718449.html,https://www.apotheken-umschau.de/einfache-sprache/krankheiten/bipolare-stoerung-1118963.html,1356,966,0.6652147173881531,0.7696923017501831,0.850489616394043,0.8663563132286072,0.8878719210624695
apotheken,https://www.apotheken-umschau.de/krankheiten-symptome/gelenks-und-knochenerkrankungen/sehnenscheidenentzuendung-ursachen-beschwerden-behandlung-735129.html,https://www.apotheken-umschau.de/einfache-sprache/krankheiten/sehnenscheidenentzuendung-722089.html,1190,429,0.8187593221664429,0.7296746969223022,0.7801973223686218,0.8486379981040955,0.8740694522857666
apotheken,https://www.apotheken-umschau.de/therapie/erste-hilfe/fremdkoerper-im-auge-766147.html,https://www.apotheken-umschau.de/einfache-sprache/erste-hilfe/erste-hilfe-fremdkoerper-im-auge-788185.html,244,290,0.8455036878585815,0.874419629573822,0.886103093624115,0.886103093624115,0.886103093624115
apotheken,https://www.apotheken-umschau.de/krankheiten-symptome/symptome/sodbrennen-welche-medikamente-helfen-716665.html,https://www.apotheken-umschau.de/einfache-sprache/medikamente-heilpflanzen/antazida-769857.html,505,424,0.6160323619842529,0.7355377078056335,0.7594738006591797,0.7314658164978027,0.7314658164978027
apotheken,https://www.apotheken-umschau.de/gesund-bleiben/vorsorge/impfungen-fuer-kinder-und-erwachsene-708063.html,https://www.apotheken-umschau.de/einfache-sprache/untersuchungen-therapien/impfungen-fuer-kinder-und-erwachsene-800069.html,1601,783,0.7706062197685242,0.8255090713500977,0.8130559325218201,0.8250013589859009,0.8958208560943604
