source,as_tokens,ls_tokens,compression_ratio,as_sent_count,as_token_count,as_avg_sent_len,as_long_sent_ratio,as_subord_ratio,as_subject_initial_ratio,as_passive_count,as_passive_ratio,as_genitive_count,as_genitive_ratio,as_subjunctive_count,as_subjunctive_ratio,as_nominal_count,as_nominal_ratio,as_verb_to_noun_ratio,as_negation_density,as_avg_word_len,as_polysyllable_ratio,as_hyphen_compound_ratio,as_abbr_ratio,as_digit_ratio,as_flesch_score,as_wstf_score,as_lix_score,as_mattr_50,ls_sent_count,ls_token_count,ls_avg_sent_len,ls_long_sent_ratio,ls_subord_ratio,ls_subject_initial_ratio,ls_passive_count,ls_passive_ratio,ls_genitive_count,ls_genitive_ratio,ls_subjunctive_count,ls_subjunctive_ratio,ls_nominal_count,ls_nominal_ratio,ls_verb_to_noun_ratio,ls_negation_density,ls_avg_word_len,ls_polysyllable_ratio,ls_hyphen_compound_ratio,ls_abbr_ratio,ls_digit_ratio,ls_flesch_score,ls_wstf_score,ls_lix_score,ls_mattr_50,red_delta_avg_sent_len,red_red_sent_len_pct,red_delta_long_sent_ratio,red_red_long_sent_pct,red_delta_subord_ratio,red_red_subord_pct,red_delta_passive_ratio,red_red_passive_pct,red_delta_genitive_ratio,red_red_genitive_pct,red_delta_subjunctive_ratio,red_red_subjunctive_pct,red_delta_nominal_ratio,red_red_nominal_pct,red_delta_polysyllable_ratio,red_red_polysyllable_pct,red_delta_abbr_ratio,red_red_abbr_pct,red_delta_wstf_score,red_red_wstf_pct,red_delta_lix_score,red_red_lix_pct,red_delta_mattr_50,red_red_mattr_pct,red_delta_flesch_score,red_gain_flesch_pts,red_delta_subject_initial_ratio,red_gain_subject_initial_pct,red_delta_verb_to_noun_ratio,red_gain_vnr_pct,red_delta_hyphen_compound_ratio,red_gain_hyphen_pct,red_delta_digit_ratio,red_gain_digit_pct
apotheken,1644,655,0.3984184914841849,107,1644,15.36448598130841,0.5981308411214953,0.24299065420560748,0.16822429906542055,15,0.14018691588785046,47,0.094,1,0.00392156862745098,82,0.049878345498783457,0.5848623853211009,0.09345794392523364,6.133819951338199,0.2816301703163017,0.016055045871559634,0.0024330900243309003,0.625,43.41833471292047,10.385654922617704,51.55915920435447,0.762294670846395,80,655,8.1875,0.1,0.0,0.1375,0,0.0,5,0.023148148148148147,0,0.0,28,0.042748091603053436,0.644808743169399,0.125,5.621374045801526,0.1984732824427481,0.0,0.0,0.0,65.49139674025169,6.495816174953581,37.40096967196204,0.6705610561056106,-7.176985981308411,46.71152372376336,-0.4981308411214953,83.28111076439293,-0.24299065420560748,99.99958846323209,-0.14018691588785046,99.99928667175507,-0.07085185185185186,75.37350863485692,-0.00392156862745098,99.97450650084228,-0.007130253895730021,14.29500292040505,-0.08315688787355363,29.52687651021001,-0.0024330900243309003,99.95891688516019,-3.8898387476641227,37.45395357449594,-14.158189532392434,27.460085610930285,-0.09173361474078445,12.033862745006859,22.07306202733122,22.07306202733122,-0.03072429906542054,-18.263780320861414,0.05994635784829805,10.249634248412793,-0.016055045871559634,-99.99377181649828,-0.625,-99.99984000025599
apotheken,795,771,0.969811320754717,83,795,9.578313253012048,0.27710843373493976,0.07228915662650602,0.25301204819277107,5,0.060240963855421686,9,0.027607361963190184,3,0.025210084033613446,23,0.028930817610062894,0.4117647058823529,0.1686746987951807,6.574842767295597,0.3660377358490566,0.01730103806228374,0.013836477987421384,0.875,39.67177633622029,12.377188316483215,54.831372278389296,0.8149329758713137,129,771,5.976744186046512,0.03875968992248062,0.0,0.26356589147286824,1,0.007751937984496124,5,0.014705882352941176,1,0.007692307692307693,20,0.02594033722438392,0.4626334519572954,0.10077519379844961,6.2075226977950715,0.2892347600518807,0.021352313167259787,0.01297016861219196,0.7142857142857143,52.8651809355693,9.538292396923465,45.52767620728786,0.7293351800554015,-3.6015690669655367,37.60128318856283,-0.23834874381245913,86.012497156789,-0.07228915662650602,99.99861668580252,-0.05248902587092556,87.13033658214917,-0.012901479610249008,46.730333467267485,-0.017517776341305753,69.48442327172305,-0.002990480385678975,10.336303186975863,-0.07680297579717588,20.982198951983904,-0.0008663093752294248,6.260601650220668,-2.83889591955975,22.93651528605994,-9.303696071101434,16.967833404180492,-0.0855977958159122,10.503647945760571,13.193404599349009,13.193404599349009,0.010553843280097175,4.171264429040903,0.05086874607494246,12.353808330380083,0.004051275104976049,23.41501671879521,-0.1607142857142857,-18.367325947545854
apotheken,1033,567,0.5488867376573088,88,1033,11.738636363636363,0.4659090909090909,0.11363636363636363,0.25,2,0.022727272727272728,19,0.05507246376811594,1,0.005952380952380952,41,0.03969022265246854,0.5936395759717314,0.056818181818181816,6.466602129719265,0.31848983543078413,0.03180212014134275,0.003872216844143272,0.3333333333333333,36.23967024693067,11.630479506446012,54.925382996050956,0.8057520325203252,90,567,6.3,0.022222222222222223,0.0,0.15555555555555556,3,0.03333333333333333,9,0.04411764705882353,0,0.0,28,0.04938271604938271,0.6826347305389222,0.08888888888888889,6.544973544973545,0.27336860670194,0.11377245508982035,0.0,1.0,49.55827353772558,8.560276770312388,41.10045662100457,0.6816216216216215,-5.4386363636363635,46.33107059328731,-0.4436868686868687,95.23014790710802,-0.11363636363636363,99.99912000774394,0.010606060606060605,-46.664613423676016,-0.010954816709292409,19.89127968311039,-0.005952380952380952,99.98320282192591,0.009692493396914172,-24.419740056335502,-0.04512122872884411,14.167198458886288,-0.003872216844143272,99.97418166758433,-3.0702027361336235,26.397901053460448,-13.824926375046388,25.170377281368445,-0.12413041089870369,15.40551582045364,13.318603290794911,13.318603290794911,-0.09444444444444444,-37.777626667271115,0.08899515456719076,14.991420426663796,0.08197033494847761,257.74305975066744,0.6666666666666667,199.99940000180004
apotheken,1356,921,0.6792035398230089,105,1356,12.914285714285715,0.4380952380952381,0.3904761904761905,0.22857142857142856,11,0.10476190476190476,23,0.05,9,0.03862660944206009,66,0.048672566371681415,0.6348773841961853,0.10476190476190476,6.290560471976401,0.2890855457227139,0.005449591280653951,0.004424778761061947,0.4444444444444444,44.809542131589055,10.341174644093883,50.801077337437476,0.8243152257077278,135,921,6.822222222222222,0.037037037037037035,0.0,0.1259259259259259,2,0.014814814814814815,9,0.02830188679245283,0,0.0,51,0.05537459283387622,0.6305970149253731,0.08888888888888889,6.268186753528773,0.28555917480998916,0.04477611940298507,0.0,0.0,52.75346631691217,9.018709465471352,42.13524160925504,0.6577981651376146,-6.092063492063493,47.173054360985226,-0.40105820105820106,91.5456847568307,-0.3904761904761905,99.99974390309488,-0.08994708994708994,85.8577663071802,-0.021698113207547172,43.39535850792418,-0.03862660944206009,99.99741117813284,0.006702026462194803,-13.769335106897126,-0.00352637091272473,1.2198322491656723,-0.004424778761061947,99.97740510644594,-1.3224651786225312,12.788344615129187,-8.665835728182437,17.058369648417905,-0.16651706057011317,20.20062876078264,7.943924185323112,7.943924185323112,-0.10264550264550265,-44.907210938359555,-0.004280369270812212,-0.674203024919734,0.039326528122331124,721.5093940709642,-0.4444444444444444,-99.99977500050625
apotheken,1012,679,0.6709486166007905,91,1012,11.12087912087912,0.4065934065934066,0.17582417582417584,0.3076923076923077,2,0.02197802197802198,15,0.040983606557377046,0,0.0,51,0.05039525691699605,0.4807692307692308,0.14285714285714285,6.452569169960475,0.30039525691699603,0.041666666666666664,0.011857707509881422,0.6,41.15971357409714,10.835465060371433,52.30174887649575,0.8080789200415369,94,679,7.223404255319149,0.0425531914893617,0.0,0.23404255319148937,1,0.010638297872340425,4,0.016260162601626018,1,0.007692307692307693,29,0.042709867452135494,0.7065217391304348,0.11702127659574468,5.955817378497791,0.22974963181148747,0.0,0.0,1.0,58.54416529498397,7.572694796846575,40.094273585722945,0.6930793650793651,-3.897474865559971,35.04646056064015,-0.3640402151040449,89.53399486089936,-0.17582417582417584,99.99943125323475,-0.011339724105681554,51.59339718127932,-0.024723443955751028,60.323731352987494,0.007692307692307693,0.0,-0.007685389464860554,15.249921194581159,-0.07064562510550856,23.51747849009617,-0.011857707509881422,99.99156737781782,-3.2627702635248585,30.111951302748235,-12.207475290772805,23.340472010208607,-0.11499955496217185,14.231210565937666,17.38445172088683,17.38445172088683,-0.07364975450081834,-23.936092420465595,0.22575250836120403,46.956424069768374,-0.041666666666666664,-99.99760005759862,0.4,66.66655555574074
apotheken,949,529,0.5574288724973656,64,949,14.828125,0.515625,0.171875,0.15625,0,0.0,11,0.034055727554179564,1,0.006802721088435374,17,0.01791359325605901,0.5547169811320755,0.171875,6.001053740779768,0.2571127502634352,0.007547169811320755,0.0,0.3333333333333333,50.06857075811669,10.066048168820503,52.94093293776504,0.8235333333333335,74,529,7.148648648648648,0.05405405405405406,0.0,0.2972972972972973,0,0.0,0,0.0,1,0.010526315789473684,9,0.017013232514177693,0.5792682926829268,0.10810810810810811,5.767485822306238,0.21172022684310018,0.0,0.0,0.8571428571428571,61.87382445141067,7.237892006269593,40.35344827586207,0.7024166666666667,-7.679476351351352,51.78993185889675,-0.46157094594594594,89.51661590880714,-0.171875,99.99941818520328,0.0,0.0,-0.034055727554179564,99.99706372258342,0.00372359470103831,-54.72879697210826,-0.0009003607418813162,5.025850874826864,-0.045392523420335035,17.654646386599893,0.0,0.0,-2.8281561625509095,28.095989947188993,-12.58748466190297,23.776468841105537,-0.12111666666666676,14.706935918073452,11.805253693293977,11.805253693293977,0.1410472972972973,90.269692544238,0.02455131155085133,4.4259087294676664,-0.007547169811320755,-99.9867517553924,0.5238095238095237,157.1423857157
apotheken,1308,669,0.5114678899082569,129,1308,10.13953488372093,0.29457364341085274,0.14728682170542637,0.1937984496124031,14,0.10852713178294573,10,0.02403846153846154,0,0.0,76,0.0581039755351682,0.628808864265928,0.13178294573643412,6.234709480122324,0.28134556574923547,0.01662049861495845,0.0015290519877675841,0.7083333333333334,48.71162906025292,9.617848037027855,47.18133730060335,0.7890865766481334,85,669,7.870588235294117,0.08235294117647059,0.0,0.1411764705882353,2,0.023529411764705882,11,0.046610169491525424,0,0.0,54,0.08071748878923767,0.6060606060606061,0.08235294117647059,5.837070254110613,0.22869955156950672,0.010101010101010102,0.0,1.0,62.59198725513335,7.261299252615846,39.445381952639444,0.644258064516129,-2.2689466484268133,22.37722391287768,-0.21222070223438216,72.0430990858881,-0.14728682170542637,99.99932105724125,-0.08499772001823985,78.31860608107925,0.022571707953063885,-93.89439907774411,0.0,0.0,0.02261351325406947,-38.91837668941548,-0.05264601417972875,18.71215809566775,-0.0015290519877675841,99.93464274364567,-2.356548784412009,24.50182754313889,-7.735955347963909,16.396218561407323,-0.14482851213200443,18.353921214575873,13.88035819488043,13.88035819488043,-0.05262197902416782,-27.152801068017084,-0.022748258205321892,-3.6176687895757147,-0.006519488513948348,-39.22322929462666,0.29166666666666663,41.17641245682947
apotheken,640,698,1.090625,48,640,13.333333333333334,0.5625,0.3125,0.3333333333333333,1,0.020833333333333332,6,0.027649769585253458,1,0.008695652173913044,12,0.01875,0.6927710843373494,0.1875,6.0578125,0.28125,0.012048192771084338,0.0,0.6666666666666666,45.43813920454545,9.898921875000001,49.23295454545455,0.7913367174280881,90,698,7.7555555555555555,0.06666666666666667,0.0,0.24444444444444444,1,0.011111111111111112,11,0.04330708661417323,1,0.008264462809917356,26,0.03724928366762178,0.6019900497512438,0.06666666666666667,5.951289398280802,0.2636103151862464,0.024875621890547265,0.0,1.0,47.76546543237086,8.738288678274927,43.76247153037984,0.6579352850539292,-5.577777777777778,41.833330195833575,-0.49583333333333335,88.14799144060781,-0.3125,99.999680001024,-0.00972222222222222,46.6644267741815,0.01565731702891977,-56.62524864143397,-0.000431189363995688,4.958107503587499,0.01849928366762178,-98.65758448947672,-0.01763968481375361,6.2718656338123635,0.0,0.0,-1.1606331967250743,11.724843312561664,-5.470483015074706,11.111425171344951,-0.1334014323741589,16.857711876507594,2.3273262278254094,2.3273262278254094,-0.08888888888888888,-26.666586666906667,-0.09078103458610554,-13.104026077052374,0.012827429119462927,106.45882560901674,0.33333333333333337,49.999925000112505
apotheken,537,411,0.7653631284916201,42,537,12.785714285714286,0.5476190476190477,0.2619047619047619,0.07142857142857142,2,0.047619047619047616,8,0.04419889502762431,2,0.020833333333333332,13,0.024208566108007448,0.6274509803921569,0.07142857142857142,6.389199255121043,0.3240223463687151,0.0915032679738562,0.00186219739292365,1.0,38.83312051077412,11.75283968076616,55.00766161213088,0.8429508196721311,59,411,6.966101694915254,0.03389830508474576,0.0,0.3220338983050847,1,0.01694915254237288,6,0.041379310344827586,0,0.0,5,0.012165450121654502,0.8653846153846154,0.03389830508474576,5.880778588807786,0.25060827250608275,0.22115384615384615,0.0,1.0,60.36937061010879,7.996600844695404,39.62819629986687,0.6793922651933701,-5.819612590799032,45.516519496577494,-0.5137207425343019,93.80970341897931,-0.2619047619047619,99.99961818327604,-0.030669895076674735,64.40542714704685,-0.002819584682796722,6.379166016196466,-0.020833333333333332,99.99520023038893,-0.012043115986352946,49.74527809637041,-0.07341407386263232,22.65703218159238,-0.00186219739292365,99.94632882142291,-3.7562388360707555,31.960263378860752,-15.37946531226401,27.95876898225515,-0.163558554478761,19.403072709704528,21.536250099334666,21.536250099334666,0.25060532687651327,350.84254583147697,0.23793363499245856,37.920612640946686,0.12965057817998993,141.6880119920008,0.0,0.0
apotheken,197,526,2.6700507614213196,25,197,7.88,0.24,0.04,0.0,1,0.04,2,0.02247191011235955,0,0.0,8,0.04060913705583756,0.1724137931034483,0.04,7.00507614213198,0.4010152284263959,0.011494252873563218,0.01015228426395939,0.75,25.219458544839284,13.727238510998308,59.32622673434856,0.8282432432432432,63,526,8.34920634920635,0.1111111111111111,0.015873015873015872,0.047619047619047616,1,0.015873015873015872,9,0.05172413793103448,0,0.0,16,0.030418250950570342,0.5576923076923077,0.14285714285714285,6.302281368821292,0.279467680608365,0.05128205128205128,0.0,0.5,50.32663059374086,9.578383562445161,46.42717168762796,0.6810482180293501,0.46920634920634985,-5.954394538863,-0.1288888888888889,53.70347993920396,-0.02412698412698413,60.31595241864986,-0.02412698412698413,60.31595241864986,0.029252227818674932,-130.1666213784521,0.0,0.0,-0.010190886105267218,25.094439083658095,-0.1215475478180309,30.30988254390314,-0.01015228426395939,99.99015097012945,-4.148854948553147,30.223519777804352,-12.899055046720598,21.742584248707143,-0.14719502521389305,17.7719345971553,25.107172048901575,25.107172048901575,0.047619047619047616,0.0,0.3852785145888594,223.46024239213259,0.03978779840848806,346.1237333890413,-0.25,-33.33328888894815
